Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.38812116054373547
75% Corpus,4,0.01,0.31,0.39131502327053125
75% Corpus,4,0.01,0.61,0.38868567648569274
75% Corpus,4,0.01,0.9099999999999999,0.38715500790027324
75% Corpus,4,0.01,symmetric,0.38812116054373547
75% Corpus,4,0.31,0.01,0.4076312301971954
75% Corpus,4,0.31,0.31,0.4148127099998927
75% Corpus,4,0.31,0.61,0.4145604738881086
75% Corpus,4,0.31,0.9099999999999999,0.41283476661516805
75% Corpus,4,0.31,symmetric,0.4076312301971954
75% Corpus,4,0.61,0.01,0.39953503433800897
75% Corpus,4,0.61,0.31,0.3951556111347689
75% Corpus,4,0.61,0.61,0.4043558442156473
75% Corpus,4,0.61,0.9099999999999999,0.41015686571648513
75% Corpus,4,0.61,symmetric,0.39660988476369896
75% Corpus,4,0.9099999999999999,0.01,0.3948748287658679
75% Corpus,4,0.9099999999999999,0.31,0.395633161326553
75% Corpus,4,0.9099999999999999,0.61,0.408649828046605
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4087691525243067
75% Corpus,4,0.9099999999999999,symmetric,0.395633161326553
75% Corpus,4,symmetric,0.01,0.41563639044872214
75% Corpus,4,symmetric,0.31,0.4089762836309399
75% Corpus,4,symmetric,0.61,0.4079902549149887
75% Corpus,4,symmetric,0.9099999999999999,0.4049918847401643
75% Corpus,4,symmetric,symmetric,0.4049918847401643
75% Corpus,4,asymmetric,0.01,0.44000528600350775
75% Corpus,4,asymmetric,0.31,0.43773927485411634
75% Corpus,4,asymmetric,0.61,0.44641672430344875
75% Corpus,4,asymmetric,0.9099999999999999,0.44026449104052373
75% Corpus,4,asymmetric,symmetric,0.43930773621092567
75% Corpus,6,0.01,0.01,0.3866884999539417
75% Corpus,6,0.01,0.31,0.38417748124074036
75% Corpus,6,0.01,0.61,0.3884882535402656
75% Corpus,6,0.01,0.9099999999999999,0.39107949961652855
75% Corpus,6,0.01,symmetric,0.38381466531012737
75% Corpus,6,0.31,0.01,0.4066539864001281
75% Corpus,6,0.31,0.31,0.40020708484141254
75% Corpus,6,0.31,0.61,0.4059826024097955
75% Corpus,6,0.31,0.9099999999999999,0.4160434076163077
75% Corpus,6,0.31,symmetric,0.4046504171911712
75% Corpus,6,0.61,0.01,0.4041915618782421
75% Corpus,6,0.61,0.31,0.4076497620876333
75% Corpus,6,0.61,0.61,0.40902339712111496
75% Corpus,6,0.61,0.9099999999999999,0.4107428675863943
75% Corpus,6,0.61,symmetric,0.4095201012304164
75% Corpus,6,0.9099999999999999,0.01,0.3957770300310062
75% Corpus,6,0.9099999999999999,0.31,0.4022715823974055
75% Corpus,6,0.9099999999999999,0.61,0.412765191891658
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.41646048591159807
75% Corpus,6,0.9099999999999999,symmetric,0.39734249102219205
75% Corpus,6,symmetric,0.01,0.38782546305531834
75% Corpus,6,symmetric,0.31,0.4098868896387522
75% Corpus,6,symmetric,0.61,0.3942961196589352
75% Corpus,6,symmetric,0.9099999999999999,0.38334753175595254
75% Corpus,6,symmetric,symmetric,0.40006894331021425
75% Corpus,6,asymmetric,0.01,0.3923689073213923
75% Corpus,6,asymmetric,0.31,0.39245606069989364
75% Corpus,6,asymmetric,0.61,0.4003545683053286
75% Corpus,6,asymmetric,0.9099999999999999,0.41722842284674133
75% Corpus,6,asymmetric,symmetric,0.38443852035340625
75% Corpus,8,0.01,0.01,0.409336482582468
75% Corpus,8,0.01,0.31,0.39893801081933256
75% Corpus,8,0.01,0.61,0.4042160771790372
75% Corpus,8,0.01,0.9099999999999999,0.39206959517799056
75% Corpus,8,0.01,symmetric,0.3963189240664387
75% Corpus,8,0.31,0.01,0.39107155859600373
75% Corpus,8,0.31,0.31,0.403833599580091
75% Corpus,8,0.31,0.61,0.40032729397701083
75% Corpus,8,0.31,0.9099999999999999,0.39212876021109705
75% Corpus,8,0.31,symmetric,0.40018985777593374
75% Corpus,8,0.61,0.01,0.3716497474270255
75% Corpus,8,0.61,0.31,0.3852985105657156
75% Corpus,8,0.61,0.61,0.3816937840230489
75% Corpus,8,0.61,0.9099999999999999,0.4056886598606648
75% Corpus,8,0.61,symmetric,0.3758849902236846
75% Corpus,8,0.9099999999999999,0.01,0.36537972925292883
75% Corpus,8,0.9099999999999999,0.31,0.380228686923733
75% Corpus,8,0.9099999999999999,0.61,0.39809710286509953
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3928461881031313
75% Corpus,8,0.9099999999999999,symmetric,0.3691648536023917
75% Corpus,8,symmetric,0.01,0.39153979444257553
75% Corpus,8,symmetric,0.31,0.39534145276920785
75% Corpus,8,symmetric,0.61,0.39008083081702893
75% Corpus,8,symmetric,0.9099999999999999,0.3961560477810407
75% Corpus,8,symmetric,symmetric,0.3876729256858068
75% Corpus,8,asymmetric,0.01,0.38913045315794426
75% Corpus,8,asymmetric,0.31,0.38118603011935526
75% Corpus,8,asymmetric,0.61,0.4063878148403236
75% Corpus,8,asymmetric,0.9099999999999999,0.38922726648889894
75% Corpus,8,asymmetric,symmetric,0.3867421214511104
75% Corpus,10,0.01,0.01,0.3883368042299746
75% Corpus,10,0.01,0.31,0.3907074346774304
75% Corpus,10,0.01,0.61,0.39570864356058755
75% Corpus,10,0.01,0.9099999999999999,0.39220839788372835
75% Corpus,10,0.01,symmetric,0.382700413919867
75% Corpus,10,0.31,0.01,0.3565425037830901
75% Corpus,10,0.31,0.31,0.36559132057913235
75% Corpus,10,0.31,0.61,0.3748619542534331
75% Corpus,10,0.31,0.9099999999999999,0.3763709735913008
75% Corpus,10,0.31,symmetric,0.3554120930806718
75% Corpus,10,0.61,0.01,0.3571082079011608
75% Corpus,10,0.61,0.31,0.3610648702424596
75% Corpus,10,0.61,0.61,0.3782520033820844
75% Corpus,10,0.61,0.9099999999999999,0.36908910864418754
75% Corpus,10,0.61,symmetric,0.3513447694051167
75% Corpus,10,0.9099999999999999,0.01,0.3611518252038205
75% Corpus,10,0.9099999999999999,0.31,0.37014913466277044
75% Corpus,10,0.9099999999999999,0.61,0.3781708572209789
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3692806847198257
75% Corpus,10,0.9099999999999999,symmetric,0.3555077011576788
75% Corpus,10,symmetric,0.01,0.3797462318865335
75% Corpus,10,symmetric,0.31,0.3879286406990367
75% Corpus,10,symmetric,0.61,0.3799848310845891
